numero,id,nombre,categoria,area,modulo,estadoFuncional,servicioDestino,rolesAutorizados
"1","5697630","📡 API Reservas","APP_TRIGGERED","Reservas","Reservar / Reservas","BLOQUEADO","Airtable + Google Calendar","PLAYER|STAFF|ADMIN|SUPPORT"
"2","6199248","🎾 Alta de Jugador","APP_TRIGGERED","Jugadores","Alta de jugador","OPERATIVO","Airtable","STAFF|ADMIN|SUPPORT"
"3","6299114","⚠️ Alerta Crítica Fallos Make","TECHNICAL_MONITORING","Soporte","Centro de automatizaciones","NO_APLICA","Ninguno detectado","SUPPORT"
"4","6233755","🗺️ Mapa de Flujos","TECHNICAL_MONITORING","Soporte","Centro de automatizaciones","NO_APLICA","Ninguno detectado","SUPPORT"
"5","6217724","🔄 Backup Semanal","SCHEDULED","Seguridad y auditoría","Backups y seguridad","BLOQUEADO","Airtable + Google Drive","ADMIN|SUPPORT"
"6","5791128","👥 Emparejamiento Sin Pareja","SCHEDULED","Jugadores","Comunicaciones y ciclo de socio","BLOQUEADO","Airtable","STAFF|ADMIN|SUPPORT"
"7","5736472","🚨 Alerta Pistas Libres + Flash Promo","SCHEDULED","Reservas","Pistas libres y recordatorios","BLOQUEADO","Airtable","STAFF|ADMIN|SUPPORT"
"8","5736800","📋 Dashboard Ejecutivo Diario","SCHEDULED","Informes","Dashboard KPI y NPS","BLOQUEADO","Airtable","ADMIN|SUPPORT"
"9","5736468","📊 Panel KPI Semanal","SCHEDULED","Informes","Dashboard KPI y NPS","BLOQUEADO","Airtable","ADMIN|SUPPORT"
"10","5736470","🔁 Reactivación Inactivos 30d","SCHEDULED","Jugadores","Comunicaciones y ciclo de socio","BLOQUEADO","Airtable","STAFF|ADMIN|SUPPORT"
"11","5799041","📈 Predicción Ocupación","SCHEDULED","Informes","Calendario y disponibilidad","BLOQUEADO","Airtable + Google Calendar","STAFF|ADMIN|SUPPORT"
"12","5811864","🎂 Felicitación Cumpleaños","SCHEDULED","Jugadores","Comunicaciones y ciclo de socio","BLOQUEADO","Airtable","STAFF|ADMIN|SUPPORT"
"13","5811901","📊 Análisis NPS Semanal","SCHEDULED","Informes","Dashboard KPI y NPS","BLOQUEADO","Airtable","ADMIN|SUPPORT"
"14","5811888","💸 Escalado Impagos","SCHEDULED","Administración","Facturación y pagos","BLOQUEADO","Airtable","ADMIN|SUPPORT"
"15","5791032","💳 Recordatorio Cuota Mensual","SCHEDULED","Jugadores","Comunicaciones y ciclo de socio","BLOQUEADO","Airtable","STAFF|ADMIN|SUPPORT"
"16","5791119","📊 Informe Mensual","SCHEDULED","Informes","Dashboard KPI y NPS","BLOQUEADO","Airtable","ADMIN|SUPPORT"
"17","5735907","🗓️ Sincronización Multi-Calendario","INTERNAL_OPERATION","Reservas","Calendario y disponibilidad","BLOQUEADO","Airtable + Google Calendar","STAFF|ADMIN|SUPPORT"
"18","5791116","🏷️ Confirmación Inscripción Torneo","INTERNAL_OPERATION","Torneos y ranking","Centro de automatizaciones","NO_CONECTADO","Airtable","SUPPORT"
"19","4942506","🔔 Recordatorio 24h Antes","INTERNAL_OPERATION","Reservas","Pistas libres y recordatorios","BLOQUEADO","Airtable","STAFF|ADMIN|SUPPORT"
"20","5736463","⚡ Recordatorio 2h Antes","INTERNAL_OPERATION","Reservas","Pistas libres y recordatorios","BLOQUEADO","Airtable","STAFF|ADMIN|SUPPORT"
"21","5736797","🚫 Seguimiento No-Show","INTERNAL_OPERATION","Reservas","Pistas libres y recordatorios","BLOQUEADO","Airtable","STAFF|ADMIN|SUPPORT"
"22","5791113","📋 Gestión Lista de Espera","INTERNAL_OPERATION","Jugadores","Lista de espera","BLOQUEADO","Airtable","STAFF|ADMIN|SUPPORT"
"23","5750308","📧 Monitor Prueba Gratuita","INTERNAL_OPERATION","Jugadores","Comunicaciones y ciclo de socio","BLOQUEADO","Airtable","STAFF|ADMIN|SUPPORT"
"24","5811918","🔁 Onboarding Secuencial","INTERNAL_OPERATION","Jugadores","Comunicaciones y ciclo de socio","BLOQUEADO","Airtable","STAFF|ADMIN|SUPPORT"
"25","5812456","❄️ Congelación + Reactivación Membresía","INTERNAL_OPERATION","Jugadores","Comunicaciones y ciclo de socio","BLOQUEADO","Airtable","STAFF|ADMIN|SUPPORT"
"26","5791022","🎁 Bienvenida Nuevo Socio","INTERNAL_OPERATION","Jugadores","Comunicaciones y ciclo de socio","BLOQUEADO","Airtable","STAFF|ADMIN|SUPPORT"
